"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","GO:0051607","defense response to virus","17/139","305/18842",0.0557377049180328,7.55546644651492,9.9503310833417,1.0665353341507e-10,3.59897261691059e-07,3.59897261691059e-07,"ENSG00000136514/ENSG00000170581/ENSG00000137959/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000213928/ENSG00000138646/ENSG00000115415/ENSG00000134321/ENSG00000168028/ENSG00000154451/ENSG00000187608/ENSG00000117228/ENSG00000135114/ENSG00000152778/ENSG00000137628",17
"GO:0009615","GO:0009615","response to virus","19/139","400/18842",0.0475,6.43881294964029,9.47837414235689,1.22414034588795e-10,3.59897261691059e-07,3.59897261691059e-07,"ENSG00000136514/ENSG00000170581/ENSG00000137959/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000213928/ENSG00000138646/ENSG00000115415/ENSG00000134321/ENSG00000168028/ENSG00000154451/ENSG00000187608/ENSG00000117228/ENSG00000135114/ENSG00000117632/ENSG00000152778/ENSG00000137965/ENSG00000137628",19
"GO:1901740","GO:1901740","negative regulation of myoblast fusion","7/139","47/18842",0.148936170212766,20.1888871881218,11.3548471263331,5.02209443242539e-08,7.96829070637495e-05,7.96829070637495e-05,"ENSG00000089157/ENSG00000136942/ENSG00000163682/ENSG00000166441/ENSG00000229117/ENSG00000131469/ENSG00000198918",7
"GO:0002181","GO:0002181","cytoplasmic translation","12/139","215/18842",0.0558139534883721,7.56580224192739,8.34717096180922,6.69994194758635e-08,7.96829070637495e-05,7.96829070637495e-05,"ENSG00000089157/ENSG00000136942/ENSG00000163682/ENSG00000166441/ENSG00000229117/ENSG00000083845/ENSG00000131469/ENSG00000168028/ENSG00000149806/ENSG00000171863/ENSG00000213741/ENSG00000198918",12
"GO:0006958","GO:0006958","complement activation, classical pathway","6/139","39/18842",0.153846153846154,20.8544548976204,10.699917681758,3.86237870140029e-07,0.000324439810917624,0.000324439810917624,"ENSG00000211890/ENSG00000173372/ENSG00000211897/ENSG00000211896/ENSG00000211892/ENSG00000211895",6
"GO:0042742","GO:0042742","defense response to bacterium","13/139","322/18842",0.0403726708074534,5.47267527592833,6.97876463218091,7.86864411886758e-07,0.000433386487728418,0.000433386487728418,"ENSG00000211890/ENSG00000154451/ENSG00000211897/ENSG00000149806/ENSG00000187608/ENSG00000117228/ENSG00000211896/ENSG00000211892/ENSG00000157873/ENSG00000211895/ENSG00000100342/ENSG00000162654/ENSG00000198918",13
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","7/139","80/18842",0.0875,11.8609712230216,8.39223871330937,2.07197804143853e-06,0.000937171606435275,0.000937171606435275,"ENSG00000170581/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000115415/ENSG00000187608/ENSG00000135114",7
"GO:0140253","GO:0140253","cell-cell fusion","7/139","89/18842",0.0786516853932584,10.661547166761,7.87607862407845,4.25308244866737e-06,0.00138934026656467,0.00138934026656467,"ENSG00000089157/ENSG00000136942/ENSG00000163682/ENSG00000166441/ENSG00000229117/ENSG00000131469/ENSG00000198918",7
"GO:0002449","GO:0002449","lymphocyte mediated immunity","12/139","339/18842",0.0353982300884956,4.79837015343477,6.08386820555917,8.17541803194664e-06,0.00240357290139231,0.00240357290139231,"ENSG00000115594/ENSG00000211890/ENSG00000173372/ENSG00000134321/ENSG00000211679/ENSG00000211897/ENSG00000026751/ENSG00000211896/ENSG00000211892/ENSG00000211677/ENSG00000157873/ENSG00000211895",12
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","7/139","105/18842",0.0666666666666667,9.03693045563549,7.11932090782171,1.27387988238129e-05,0.0035668636706676,0.0035668636706676,"ENSG00000170581/ENSG00000165949/ENSG00000124256/ENSG00000184979/ENSG00000115415/ENSG00000187608/ENSG00000135114",7
