gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000131747,ENSG00000131747,TOP2A,1.24426748383831,9.916912742170399e-12
ENSG00000164611,ENSG00000164611,PTTG1,1.73335153661362,
ENSG00000133321,ENSG00000133321,PLAAT4,0.655294162067668,2.5325691003756502e-09
ENSG00000117632,ENSG00000117632,STMN1,0.93884306570502,5.84854357605501e-08
ENSG00000189057,ENSG00000189057,FAM111B,1.16354157721877,1.6314362938035e-06
ENSG00000135083,ENSG00000135083,CCNJL,-0.52271516233681,2.23684889016448e-06
ENSG00000253755,ENSG00000253755,,2.57564796983476,
ENSG00000171848,ENSG00000171848,RRM2,0.686987562410087,3.36892853089662e-06
ENSG00000276386,ENSG00000276386,CNTNAP3P2,-0.629786490501635,8.63470670109035e-06
ENSG00000285966,ENSG00000285966,ST6GALNAC3,-0.838649498198257,1.70151432798981e-05
ENSG00000134152,ENSG00000134152,KATNBL1,-0.376038342564332,1.90078408854259e-05
ENSG00000133816,ENSG00000133816,MICAL2,-0.447874624415174,2.1552426960858e-05
ENSG00000275649,ENSG00000275649,TNFRSF14,-0.684026077436339,2.63880101015375e-05
ENSG00000184005,ENSG00000184005,SLC8A1,-0.600095784153845,2.63880101015375e-05
ENSG00000183023,ENSG00000183023,CYP1B1-AS1,-0.777515029357482,2.63880101015375e-05
ENSG00000232973,ENSG00000232973,CISD3,-0.519040020286587,2.63880101015375e-05
ENSG00000277972,ENSG00000277972,HRH2,0.685440404245039,3.11201163797451e-05
ENSG00000287771,ENSG00000287771,LOC100289473,-0.76417313765743,3.33216829129132e-05
ENSG00000157873,ENSG00000157873,SIT1,0.540286768548534,4.01856946491552e-05
ENSG00000113749,ENSG00000113749,SPATA6,-0.364854565761374,7.19052553182169e-05
ENSG00000137078,ENSG00000137078,CENPE,0.805692999645646,7.439157677712e-05
ENSG00000286288,ENSG00000286288,DGKG,-0.668656415501602,7.439157677712e-05
ENSG00000184990,ENSG00000184990,MRPL57,0.47247758132928,8.3475303000407e-05
ENSG00000132122,ENSG00000132122,SIVA1,-0.474942929251389,8.3475303000407e-05
ENSG00000091262,ENSG00000091262,SNRPD1,-0.370783377254632,9.0634180971473e-05
ENSG00000058866,ENSG00000058866,ABCC6,-0.308695360316439,9.74951326520392e-05
ENSG00000089685,ENSG00000089685,,1.23496892255494,
ENSG00000126457,ENSG00000126457,CPNE5,0.511208634032031,0.0001110299120929
ENSG00000138778,ENSG00000138778,PRMT1,0.539565184988436,0.0001110299120929
ENSG00000154188,ENSG00000154188,AATK,-0.615036151500654,0.0001379938955797
ENSG00000181409,ENSG00000181409,IGF1R,-0.472345497950056,0.0001445545521721
ENSG00000124772,ENSG00000124772,REPS2,0.517204092693333,0.0001445545521721
ENSG00000165801,ENSG00000165801,AGO2,-0.621860647776618,0.0001470432518547
ENSG00000173141,ENSG00000173141,ANGPT1,0.429910389057107,0.0001470432518547
ENSG00000065328,ENSG00000065328,PFDN6,0.903640362831041,
ENSG00000169891,ENSG00000169891,DNAI3,-0.518328573877653,0.000149732939143
ENSG00000162551,ENSG00000162551,IL1RAP,-0.613249529602894,0.0001499648858341
ENSG00000167088,ENSG00000167088,ARHGEF40,0.37092817957019,0.000152414935933
ENSG00000140443,ENSG00000140443,MCM10,-0.498937495956372,0.0001801253301384
ENSG00000250166,ENSG00000250166,CD38,0.531368315197878,0.0001821820486507
ENSG00000204220,ENSG00000204220,SVIL,0.717595465882811,0.0001821820486507
ENSG00000162643,ENSG00000162643,C2CD5-AS1,0.441532101828305,0.0001821820486507
ENSG00000115590,ENSG00000115590,LINC02458,-0.424518386241507,0.0001866339324871
ENSG00000196083,ENSG00000196083,IL1R2,-0.475624150473759,0.0001866339324871
ENSG00000246363,ENSG00000246363,TMEM71,-0.507631659418093,0.0002140061127668
ENSG00000239713,ENSG00000239713,TSPOAP1-AS1,0.433580858975163,0.0002145063038366
ENSG00000115594,ENSG00000115594,DTL,-0.847520868574748,0.0002145063038366
ENSG00000123908,ENSG00000123908,ALPL,-0.266607030244617,0.0002324176143594
