Gene_ID,Chrom,Gene_Name,Biotype,Description,baseMean,LogFC,lfcSE,stat,pvalue,padj
ENSG00000131747,17,TOP2A,protein_coding,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989],79.10714563,1.428773044,0.174255901,8.19928067,2.42e-16,4.3e-12
ENSG00000164611,5,PTTG1,protein_coding,PTTG1 regulator of sister chromatid separationsecurin [Source:HGNC Symbol;Acc:HGNC:9690],15.43808051,1.96312962,0.24476092,8.020600743,1.05e-15,9.37e-12
ENSG00000117632,1,STMN1,protein_coding,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510],88.0631249,1.190798061,0.171656715,6.93708987,4e-12,2.37e-08
ENSG00000253755,14,IGHGP,IG_C_pseudogene,immunoglobulin heavy constant gamma P (non-functional) [Source:HGNC Symbol;Acc:HGNC:5529],12.3942005,2.966223356,0.430449244,6.890994461,5.54e-12,2.47e-08
ENSG00000148773,10,MKI67,protein_coding,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107],84.79274499,1.178558376,0.195154005,6.039119596,1.55e-09,5.52e-06
ENSG00000189057,11,FAM111B,protein_coding,FAM111 trypsin like peptidase B [Source:HGNC Symbol;Acc:HGNC:24200],24.63034251,1.432903308,0.244554396,5.859241673,4.65e-09,1.38e-05
ENSG00000164687,8,FABP5,protein_coding,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],9.412544398,1.533863998,0.26529933,5.781635408,7.4e-09,1.65e-05
ENSG00000117724,1,CENPF,protein_coding,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857],66.09385149,0.950739974,0.163990183,5.797541997,6.73e-09,1.65e-05
ENSG00000171848,2,RRM2,protein_coding,ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452],55.16934212,0.840968793,0.146455575,5.742142576,9.35e-09,1.85e-05
ENSG00000173207,1,CKS1B,protein_coding,CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083],20.83386269,1.004653971,0.177028151,5.675108534,1.39e-08,2.47e-05
ENSG00000133321,11,PLAAT4,protein_coding,phospholipase A and acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:9869],337.5007265,0.79841401,0.141640026,5.636923619,1.73e-08,2.8e-05
ENSG00000065328,10,MCM10,protein_coding,minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043],14.79170348,1.009750439,0.180188516,5.603855695,2.1e-08,3.03e-05
ENSG00000167088,18,SNRPD1,protein_coding,small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158],184.0031055,0.512480767,0.091608926,5.594223064,2.22e-08,3.03e-05
ENSG00000211677,22,IGLC2,IG_C_gene,immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856],276.8488493,1.427768686,0.256469866,5.567003679,2.59e-08,3.29e-05
ENSG00000089685,17,BIRC5,protein_coding,baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593],8.388669518,1.602538473,0.288530075,5.554147079,2.79e-08,3.31e-05
ENSG00000237649,6,KIFC1,protein_coding,kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389],15.06299805,1.005321033,0.182291328,5.51491419,3.49e-08,3.86e-05
ENSG00000277972,17,CISD3,protein_coding,CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578],30.02630858,0.77484095,0.140745846,5.505249166,3.69e-08,3.86e-05
ENSG00000138778,4,CENPE,protein_coding,centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856],56.12077143,0.673999601,0.123224151,5.469703729,4.51e-08,4.46e-05
ENSG00000173141,13,MRPL57,protein_coding,mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514],92.59950773,0.535696937,0.099318323,5.393737229,6.9e-08,6.46e-05
ENSG00000170476,5,MZB1,protein_coding,marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125],17.48020969,1.622884436,0.302881679,5.358146595,8.41e-08,7.35e-05
ENSG00000211679,22,IGLC3,IG_C_gene,immunoglobulin lambda constant 3 (Kern-Oz+ marker) [Source:HGNC Symbol;Acc:HGNC:5857],261.7130166,1.422061627,0.266031428,5.34546478,9.02e-08,7.35e-05
ENSG00000066279,1,ASPM,protein_coding,assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048],34.50275884,1.014606642,0.189852676,5.344178786,9.08e-08,7.35e-05
ENSG00000112667,6,DNPH1,protein_coding,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218],47.59106818,0.6471229,0.121825538,5.311882132,1.08e-07,8.4e-05
ENSG00000184990,14,SIVA1,protein_coding,SIVA1 apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:17712],141.9530932,0.562857624,0.107731322,5.224642329,1.74e-07,0.000129415
ENSG00000104738,8,MCM4,protein_coding,minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947],18.57852338,0.901493546,0.174488321,5.16649792,2.39e-07,0.000169827
ENSG00000137959,1,IFI44L,protein_coding,interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817],273.9119743,2.41954016,0.470130495,5.146528857,2.65e-07,0.000181663
ENSG00000133816,11,MICAL2,protein_coding,microtubule associated monooxygenasecalponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693],1349.331471,-0.475851317,0.093058533,-5.113462475,3.16e-07,0.000208528
ENSG00000137078,9,SIT1,protein_coding,signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710],57.62283494,0.96367436,0.191397129,5.034946799,4.78e-07,0.00030386
ENSG00000239039,8,SNORD13,snoRNA,small nucleolar RNAC/D box 13 [Source:HGNC Symbol;Acc:HGNC:32711],244.9223811,1.358157638,0.272014817,4.992954629,5.95e-07,0.000364511
ENSG00000204220,6,PFDN6,protein_coding,prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926],35.52603834,0.803447261,0.161119568,4.986652288,6.14e-07,0.000364511
ENSG00000143575,1,HAX1,protein_coding,HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915],89.68506968,0.52369706,0.105278612,4.974391742,6.55e-07,0.000375826
ENSG00000143476,1,DTL,protein_coding,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],29.27266002,0.735338097,0.148931854,4.937413158,7.92e-07,0.000427015
ENSG00000187951,15,AC091057.1,lncRNA,novel transcript,89.45542231,0.476060856,0.096327174,4.942124207,7.73e-07,0.000427015
ENSG00000130770,1,ATP5IF1,protein_coding,ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871],202.2652968,0.566182053,0.11585184,4.887121778,1.02e-06,0.00053568
ENSG00000168062,11,BATF2,protein_coding,basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163],43.6639803,2.1440232,0.441476378,4.856484531,1.19e-06,0.000607682
ENSG00000163682,4,RPL9,protein_coding,ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369],426.1670103,1.275785786,0.263695311,4.838105704,1.31e-06,0.00064813
ENSG00000160932,8,LY6E,protein_coding,lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727],83.32349929,1.398437115,0.290037828,4.821568011,1.42e-06,0.000667192
ENSG00000164405,5,UQCRQ,protein_coding,ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594],189.1624961,0.77423591,0.160575381,4.821635221,1.42e-06,0.000667192
ENSG00000229119,5,AC026403.1,processed_pseudogene,60S acidic ribosomal protein (RPLP0) pseudogene,77.99514085,0.813242686,0.168934462,4.813953757,1.48e-06,0.000675364
ENSG00000185880,15,TRIM69,protein_coding,tripartite motif containing 69 [Source:HGNC Symbol;Acc:HGNC:17857],138.8194749,0.613486934,0.127843853,4.798720605,1.6e-06,0.000710587
ENSG00000169627,16,BOLA2B,protein_coding,bolA family member 2B [Source:HGNC Symbol;Acc:HGNC:32479],87.07825504,0.744270487,0.155894361,4.774197623,1.8e-06,0.000763208
ENSG00000204568,6,MRPS18B,protein_coding,mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516],116.430835,0.489843766,0.102696015,4.769841993,1.84e-06,0.000763208
ENSG00000286288,20,AL109809.5,lncRNA,novel transcript,270.6701409,-0.627325917,0.131395468,-4.774334516,1.8e-06,0.000763208
ENSG00000149131,11,SERPING1,protein_coding,serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228],106.766199,1.979844407,0.416563263,4.752806072,2.01e-06,0.000802145
ENSG00000211895,14,IGHA1,IG_C_gene,immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:HGNC:5478],97.88574216,1.226442086,0.258408015,4.746145681,2.07e-06,0.000802145
ENSG00000197238,6,HIST1H4J,protein_coding,H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785],7.338166903,1.219550545,0.257190162,4.741824234,2.12e-06,0.000802145
ENSG00000090889,X,KIF4A,protein_coding,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339],31.06583529,0.578227224,0.121901013,4.743416082,2.1e-06,0.000802145
ENSG00000165949,14,IFI27,protein_coding,interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397],75.50347854,2.318221095,0.490305617,4.728114494,2.27e-06,0.000840362
ENSG00000152766,10,ANKRD22,protein_coding,ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321],69.04065629,2.157307339,0.457058521,4.719980572,2.36e-06,0.000856824
ENSG00000145649,5,GZMA,protein_coding,granzyme A [Source:HGNC Symbol;Acc:HGNC:4708],159.898584,0.99538289,0.211406292,4.708388205,2.5e-06,0.000874216
ENSG00000092853,1,CLSPN,protein_coding,claspin [Source:HGNC Symbol;Acc:HGNC:19715],44.19352499,0.697879426,0.14824084,4.707740626,2.5e-06,0.000874216
ENSG00000182054,15,IDH2,protein_coding,isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383],229.8788188,0.40543336,0.086479631,4.688194826,2.76e-06,0.000943487
ENSG00000134321,2,RSAD2,protein_coding,radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908],298.6907322,2.043276042,0.436738921,4.678483967,2.89e-06,0.000970616
ENSG00000089157,12,RPLP0,protein_coding,ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371],683.4972856,0.69805993,0.149964865,4.654823183,3.24e-06,0.001063719
ENSG00000143793,1,C1orf35,protein_coding,chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032],56.67348675,0.487312857,0.10475265,4.652033706,3.29e-06,0.001063719
ENSG00000198642,9,KLHL9,protein_coding,kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732],68.78089921,0.540182548,0.117267814,4.606400767,4.1e-06,0.001242766
