"","category","D14","D60","D74","D365"
"ZEB2","Differentiation",3.21197653494346,2.59162701915766,3.63801941629539,3.03284254437747
"IRF4","Differentiation",0.571698132979053,0.64146600513557,0.817893226257422,0.0799758245978126
"TBX21","Differentiation",-0.468806238424413,-0.712961241798805,-0.467153658915741,-1.05575111144448
"ICOS","Co-stim/Checkpoint",1.28311999142867,0.891542348939348,1.24989277044655,0.583689019057517
"CTLA4","Co-stim/Checkpoint",1.54055012750942,1.38057574875888,1.61560844730029,1.02118828003535
"TIGIT","Co-stim/Checkpoint",0.793161928557046,0.443749078575294,0.963165199390412,0.219903319098261
"PDCD1","Co-stim/Checkpoint",0.656581111656273,-0.10839599716407,0.782371440390749,0.183586476950399
"HAVCR2","Co-stim/Checkpoint",7.55929508473951,8.35249455289072,9.11817395371949,7.95052728746429
"GZMA","Cytotoxicity",2.67097971152183,0.898188597023608,3.67861541974321,1.71212471323906
"GNLY","Cytotoxicity",-2.31644005226646,2.4919947952479,3.10511404465584,3.27242259776754
"PRF1","Cytotoxicity",0.52354095725194,-0.722493286021756,1.10749412619736,1.37910001914372
"CD38","Activation",6.57780117451109,3.6205004947733,3.25277540355271,0.110667913305636
"TOX","Activation",1.26988028455313,1.5108742066338,2.17675696345278,0.536388294314679
"CCR7","Memory/Naive",0.74510287708197,1.12397463694036,0.311647951598275,-0.117555786631555
"IL7R","Memory/Naive",-1.19436924756095,-0.461016979857866,-0.73678636328344,-1.01032097217566
"TCF7","Memory/Naive",0.464227826324963,0.575805779648248,0.210595451706902,-0.0722429907497575
"CXCR5","Tfh",-0.940744358514536,0.546423852607583,-0.105427503674077,-1.76565594528789
"BCL6","Tfh",0.674560266978041,1.04789057717556,1.10630430644472,-0.237997862892898
"ISG15","Type I IFN (control)",0.138313029952347,0.244855990675767,-0.364698290089781,-0.0973821291384319
"MX1","Type I IFN (control)",-0.270343827538561,0.164168912676384,-0.504386165114342,0.084016050285829
"RSAD2","Type I IFN (control)",-1.79325058835147,0.535404648266822,-2.08547236350731,-0.239753729695238
"STAT1","Type I IFN (control)",-0.150868096031233,-0.243436818715843,-0.384406502520584,-0.0896734291793042
