"","D14","D60","D74","D365","n_significant_timepoints"
"CDC50B",-9.90167413935918,-6.43689469471833,-5.94027481974733,-6.82954524069877,2
"PHEX",8.4918700049575,7.18358332904829,9.40396814679146,5.48577640983797,2
"HAVCR2",7.55929508473951,8.35249455289072,9.11817395371949,7.95052728746429,4
"DOK5",7.41352296626397,7.74676518380802,9.06548781768668,-0.0603578130071724,2
"MYO1E",6.47388678774792,5.56845376161459,8.44981102575492,5.99262017719728,3
"CA2",-5.97028683275372,-6.59305811770571,-6.22715874122541,-8.29857743319503,3
"NME4",-5.60368291529603,-6.19539744895506,-8.14431283608452,-0.11316826286557,2
"PTHLH",5.79397857427612,7.7692645348196,3.62080595218251,1.46381955452353,2
"TPX2",7.53449744844168,1.90240905176314,6.35098957153155,2.42797223678052,2
"CPPED1",5.88572113844699,5.63391370209976,7.17505559714888,5.68119092760599,2
"ENSG00000240350",6.51432787904807,5.43365665922821,7.06918050539599,2.15576304843869,2
"PLEK2",-4.6715665899618,-1.56341905160706,-6.96824646825182,-2.86548783424469,2
"BCAT1",6.08165502467527,4.44646381626982,6.8675016323799,1.84783400831553,2
"CELF2-AS2",5.44957264772675,0.719717867610964,6.82408500934631,0.32635039228561,2
"FGF9",-6.17185434132566,-3.63120741677018,-6.68236874926687,-4.01420903612119,2
"PTCH1",-6.32942074276616,-5.40302330917933,-6.20190725379084,-5.60467313128844,2
"SPP1",-5.3759831391463,-5.61417135979418,-6.23152861477004,-5.94808222257537,3
"SRGAP2",6.10590880072587,4.34820239023641,5.8246842848647,5.63670671860927,2
"SCARNA9",6.06083071891773,4.58823827257403,5.55378325811216,1.79721813970557,2
"SSBP2",-3.20588725914325,-2.44834068289613,-2.71288926576215,-5.55973699007647,2
"ANAPC1P4",4.9578499676395,2.47872451701178,5.40242518609459,3.41516609191818,2
"ENSG00000224959",5.30310107548755,5.00386105612333,5.08350222960648,2.28997484296773,3
"ABCC10",5.21356059291568,2.52735420706058,5.28793528189353,4.61038239877696,2
"ENSG00000226963",-5.09091518963827,-0.879374711746449,-4.79808467668224,-0.565480132480135,2
"DDX19B",4.9381249969373,5.00415588635194,4.70752616731155,3.91844929949398,3
