Gene,HRA_CD4Naive_LFC,RZV_D14_LFC,RZV_D74_LFC,RZV_D365_LFC,Direction
A2M,-0.036,-0.7,-2.5,-2.5,Concordant Down
PPP1R2C,-0.026,-0.8,-3.6,-3.8,Concordant Down
PPP2R2B,-0.066,-3.7,-3.9,-3.5,Concordant Down
PPP2R3B,-0.446,-1.7,-3.9,-1.9,Concordant Down
PPP4R4,-0.015,-3.7,-5.5,-0.6,Concordant Down
PRDM11,-0.005,-1.8,-0.0,-2.2,Concordant Down
PREX1,-0.29,-0.7,0.3,0.4,Concordant Down
PRIM2,-0.029,-1.3,-1.5,-0.2,Concordant Down
PRKAR2B,-0.014,-2.5,-2.5,0.3,Concordant Down
PROB1,-0.008,-1.3,0.3,-2.2,Concordant Down
PROCA1,-0.083,-2.5,-3.6,-1.8,Concordant Down
PROK2,-0.375,-1.7,1.1,-0.3,Concordant Down
PRRT3,-0.013,-1.5,-0.2,-2.0,Concordant Down
PRX,-0.061,-0.7,1.0,-0.3,Concordant Down
PRXL2A,-0.271,-2.9,-2.6,0.1,Concordant Down
PTCH1,-0.089,-6.3,-6.2,-5.6,Concordant Down
PTPN23,-0.055,-0.7,-0.9,-1.4,Concordant Down
PTPRK,-0.272,-1.7,-2.1,-2.2,Concordant Down
PYGM,-0.026,-1.0,-1.5,-0.2,Concordant Down
RAB20,-0.123,-1.9,-6.4,-0.3,Concordant Down
PPP1R13B,-0.127,-0.9,-0.2,0.3,Concordant Down
RAB31,-0.418,-1.0,-1.9,-0.9,Concordant Down
PPFIBP1,-0.006,-4.8,-4.0,-4.9,Concordant Down
POPDC2,-0.039,-0.9,-0.2,1.4,Concordant Down
PITPNC1,-0.319,-0.8,-0.1,-0.7,Concordant Down
PITRM1-AS1,-0.016,-0.6,0.2,-1.1,Concordant Down
PJVK,-0.78,-2.7,2.6,-3.3,Concordant Down
PKHD1,0.0,-0.9,-0.3,-0.8,Concordant Down
PLAUR,-0.421,-1.7,-5.6,-1.1,Concordant Down
PLB1,-0.165,-0.8,-0.7,-1.3,Concordant Down
PLCD1,-0.069,-1.7,0.8,1.6,Concordant Down
PLCG1-AS1,-0.077,-0.9,-2.7,-3.5,Concordant Down
PLCL1,-0.152,-2.4,-0.0,-1.5,Concordant Down
PLCXD1,-0.068,-2.0,-0.2,-2.3,Concordant Down
PLD1,-0.053,-0.8,0.8,-0.9,Concordant Down
PLD6,-0.018,-1.0,-1.2,-0.5,Concordant Down
PLEKHD1,-0.006,-1.5,0.7,0.8,Concordant Down
PLEKHG1,-0.246,-1.4,1.4,-0.6,Concordant Down
PLEKHN1,-0.006,-2.2,-1.4,0.2,Concordant Down
PLK2,-0.07,-2.9,-4.3,-1.0,Concordant Down
PMAIP1,-0.44,-0.6,-0.4,-0.1,Concordant Down
PMEL,-0.082,-2.2,-3.6,-3.2,Concordant Down
POMZP3,-0.175,-1.0,0.1,1.0,Concordant Down
PPBP,-0.301,-2.2,-1.2,1.2,Concordant Down
PIK3CD-AS1,-0.058,-1.2,2.2,1.3,Concordant Down
RAD51B,-0.228,-0.7,0.8,-0.5,Concordant Down
RAI14,-0.01,-4.1,-3.2,0.7,Concordant Down
RRAD,-0.031,-1.0,-1.5,-1.9,Concordant Down
RTL5,-0.041,-1.0,-0.0,0.2,Concordant Down
RTN2,-0.033,-0.6,-0.8,-0.4,Concordant Down
SAMD4A,-0.032,-1.4,-1.0,-1.2,Concordant Down
SAP30-DT,-0.429,-0.7,2.2,-0.4,Concordant Down
SAP30L-AS1,-0.082,-1.3,0.3,0.8,Concordant Down
SBF2,-0.777,-3.6,-3.8,-0.1,Concordant Down
SCMH1,-0.025,-0.8,0.5,-0.5,Concordant Down
SCML2,-0.005,-3.2,-4.2,-3.1,Concordant Down
SCN8A,-0.022,-3.1,-1.6,-1.8,Concordant Down
SCOC-AS1,-0.066,-0.9,-0.9,-2.5,Concordant Down
SELENOK,-0.366,-0.6,-0.7,0.0,Concordant Down
SELENOM,-0.002,-1.2,-1.2,1.2,Concordant Down
SELP,-0.034,-1.4,-2.8,-1.3,Concordant Down
SEMA4C,-0.019,-3.2,-0.6,-1.1,Concordant Down
SEMA6C,-0.031,-1.2,0.0,-0.5,Concordant Down
SEMA7A,-0.018,-0.7,-0.6,-1.0,Concordant Down
SEPTIN10,-0.05,-3.2,-2.4,-0.5,Concordant Down
SEPTIN8,-0.095,-1.5,-1.9,-1.2,Concordant Down
RPGRIP1,-0.042,-0.8,-1.7,0.1,Concordant Down
RAD54L,0.0,-1.1,-1.7,-1.8,Concordant Down
RNF169,-0.165,-0.9,-0.2,-0.4,Concordant Down
RNF130,-0.219,-2.2,-4.2,-0.9,Concordant Down
RAI2,-0.014,-1.1,-1.6,-1.0,Concordant Down
RALGPS1,-0.048,-4.3,-2.9,-1.9,Concordant Down
RAPH1,-0.086,-1.2,-0.7,-0.6,Concordant Down
RAPSN,-0.066,-0.9,-1.3,-1.6,Concordant Down
RASD1,-0.008,-0.8,-2.0,1.1,Concordant Down
RASGEF1A,-0.08,-4.2,-0.5,-0.1,Concordant Down
RASGEF1B,-0.005,-1.1,-1.7,-0.5,Concordant Down
RBFOX2,-3.59,-1.6,-3.1,-1.3,Concordant Down
RBMS2,-0.099,-1.0,-3.5,-2.5,Concordant Down
RBP5,-0.0,-0.8,-1.8,-0.8,Concordant Down
RBPMS,-0.035,-2.7,-3.7,-4.7,Concordant Down
REEP6,-0.056,-0.8,0.0,1.8,Concordant Down
RELL1,-0.2,-3.0,0.5,0.2,Concordant Down
RELT,-0.244,-0.9,-1.0,-1.8,Concordant Down
RFX2,-0.174,-3.2,-1.6,-0.2,Concordant Down
RGMB,-0.103,-5.2,-3.2,-5.4,Concordant Down
RGS17,0.0,-1.4,1.0,0.4,Concordant Down
RGS18,-0.11,-1.1,-2.4,1.6,Concordant Down
RHOD,0.0,-2.0,-2.8,-2.3,Concordant Down
RNF144B,-0.062,-1.1,-2.3,-1.4,Concordant Down
PIGQ,-0.062,-1.3,-0.5,-1.4,Concordant Down
PHLDB3,-0.146,-0.8,-1.8,-0.0,Concordant Down
PHLDB1,0.0,-1.8,-1.0,-0.6,Concordant Down
MYBL1,-0.056,-3.2,-1.9,-0.4,Concordant Down
MYO15B,-0.158,-1.4,-2.7,-2.6,Concordant Down
MYO1D,-0.079,-0.7,-1.2,0.8,Concordant Down
MYO5C,-0.017,-0.8,-0.4,-0.1,Concordant Down
NAP1L5,-0.041,-2.6,-3.7,-4.9,Concordant Down
NAPSA,-0.018,-0.6,-0.4,2.4,Concordant Down
NBPF10,-0.006,-1.9,-1.0,-1.8,Concordant Down
NBPF3,-0.09,-2.9,-2.6,-1.8,Concordant Down
NCAPH2,-0.123,-0.6,-0.4,-0.5,Concordant Down
NDUFB2-AS1,-0.003,-0.8,1.0,-1.9,Concordant Down
NECTIN1,-0.073,-1.1,-0.4,0.1,Concordant Down
NECTIN3,-0.102,-1.8,-2.5,-1.6,Concordant Down
NEK10,-1.055,-1.2,-0.7,-1.8,Concordant Down
NELL2,-0.056,-1.0,-1.6,-0.9,Concordant Down
NFIA,-0.07,-2.3,-1.1,-0.2,Concordant Down
NFIL3,-0.238,-0.8,-0.2,0.2,Concordant Down
NFKBIA,-0.838,-0.7,-0.4,0.0,Concordant Down
NIBAN1,-1.396,-0.7,0.2,-0.0,Concordant Down
NIPAL1,-0.012,-1.2,-0.1,-1.3,Concordant Down
MXRA8,-0.0,-2.4,-0.5,-2.3,Concordant Down
NOMO3,-0.069,-1.3,0.9,-1.0,Concordant Down
MTMR8,-0.169,-1.5,-0.2,1.3,Concordant Down
MTCP1,-0.011,-1.3,1.4,1.6,Concordant Down
MFGE8,-0.008,-2.0,-3.4,-1.7,Concordant Down
MFSD12,-0.363,-0.7,-0.1,-0.1,Concordant Down
MGARP,-0.024,-2.5,-1.8,-2.3,Concordant Down
MGAT4A,-0.371,-0.8,-0.4,-0.4,Concordant Down
MIB2,-0.143,-0.8,-0.3,0.1,Concordant Down
MID1,-0.035,-1.4,-2.0,-0.2,Concordant Down
MIR22HG,-0.524,-0.7,0.1,0.1,Concordant Down
MIR3681HG,-0.04,-0.8,0.5,-0.1,Concordant Down
MIR3945HG,-0.109,-0.6,1.0,-0.1,Concordant Down
MIR4422HG,-0.007,-1.0,-2.3,-0.6,Concordant Down
MIRLET7A1,0.0,-2.0,-0.4,1.4,Concordant Down
MISP3,-0.016,-1.8,-3.4,0.4,Concordant Down
MLANA,-0.017,-1.6,1.2,0.0,Concordant Down
MMD,-0.158,-1.4,-3.5,-0.6,Concordant Down
MMP19,-0.007,-1.9,-0.5,-1.8,Concordant Down
MMP9,-0.115,-0.6,-0.4,1.0,Concordant Down
MOK,-0.116,-0.9,-2.6,-0.5,Concordant Down
MORC2-AS1,-0.074,-1.4,-0.5,1.0,Concordant Down
MORN1,-0.02,-1.8,-1.2,-0.9,Concordant Down
MTFR1,-0.092,-0.9,-0.8,-0.5,Concordant Down
NOX1,-0.133,-3.4,-3.4,-2.6,Concordant Down
NPL,-0.041,-1.9,3.7,1.3,Concordant Down
NPW,-0.105,-1.7,-1.8,-3.4,Concordant Down
PAPSS2,-0.001,-1.4,-2.5,0.1,Concordant Down
PAQR6,-0.034,-1.0,-2.0,-0.6,Concordant Down
PCAT1,-0.068,-1.5,-3.0,-3.1,Concordant Down
PCBP3,-0.163,-0.8,-0.8,-0.8,Concordant Down
PCYT2,-0.108,-1.0,-1.5,0.7,Concordant Down
PDE4A,-0.018,-2.0,0.3,-2.2,Concordant Down
PDE4B,-0.102,-0.7,-0.5,-0.0,Concordant Down
PDLIM7,-0.329,-1.3,1.7,-1.4,Concordant Down
PEAK3,-0.022,-1.1,-3.4,-0.3,Concordant Down
PEG10,-0.012,-3.3,-4.1,-3.1,Concordant Down
PELI2,-0.118,-2.2,-3.4,-1.1,Concordant Down
PELI3,-0.054,-3.6,-1.4,-4.5,Concordant Down
PER3,-0.01,-0.9,-1.1,-1.3,Concordant Down
PF4,-0.053,-3.0,-3.5,0.3,Concordant Down
PFN2,-0.26,-2.1,-0.9,-5.0,Concordant Down
PGAP3,-0.062,-1.2,-2.7,0.5,Concordant Down
PGBD1,-0.023,-1.9,-0.5,0.7,Concordant Down
PHACTR1,-0.042,-1.2,-1.5,-0.8,Concordant Down
PHF7,-0.135,-4.1,-0.0,-3.2,Concordant Down
PACRG,-0.014,-2.1,-1.3,-1.3,Concordant Down
P4HA2,-0.048,-0.6,0.3,1.1,Concordant Down
P2RX5-TAX1BP3,-0.052,-0.7,-0.0,-0.3,Concordant Down
OTULINL,-0.965,-1.7,0.2,-1.5,Concordant Down
NQO2,-0.05,-0.6,0.0,1.0,Concordant Down
NR2F6,-0.037,-1.1,0.3,-1.7,Concordant Down
NR3C2,-0.068,-3.6,-4.0,-2.6,Concordant Down
NR4A1,-0.106,-0.8,-0.6,-0.1,Concordant Down
NR4A2,-0.767,-1.5,-1.3,-0.2,Concordant Down
NR4A3,-0.008,-1.0,-0.6,-0.9,Concordant Down
NREP,-0.014,-2.2,-0.2,-3.6,Concordant Down
NRIP3,-0.004,-5.4,-2.1,-3.0,Concordant Down
NRXN1,-0.015,-1.7,-1.7,-0.4,Concordant Down
SETD7,-0.189,-1.3,-0.0,0.1,Concordant Down
NSG1,-0.083,-1.0,-5.0,1.6,Concordant Down
NTM,-0.024,-1.4,-1.4,-2.5,Concordant Down
NUP155,-0.089,-0.7,-0.2,-0.6,Concordant Down
OAF,-0.019,-2.6,-4.1,-1.6,Concordant Down
OBSCN-AS1,-0.069,-3.1,-1.8,-2.1,Concordant Down
OGFRL1,-0.44,-2.7,-1.8,-2.1,Concordant Down
OSBPL10,-0.09,-1.1,-2.6,-2.8,Concordant Down
OSER1-DT,-0.391,-0.7,-1.4,1.7,Concordant Down
OSM,-0.092,-2.0,-2.8,-0.3,Concordant Down
OTUD7A,-0.072,-3.3,-2.0,-1.8,Concordant Down
NT5E,-0.205,-2.5,-2.1,-0.9,Concordant Down
SGK3,-0.267,-1.0,-1.2,-0.4,Concordant Down
SGSM3,-0.205,-1.9,0.4,-1.3,Concordant Down
SH2B2,-0.164,-0.6,-4.1,-0.4,Concordant Down
TUBB1,-0.087,-3.8,-3.5,-3.7,Concordant Down
TUBG2,-0.011,-0.9,0.5,0.6,Concordant Down
TUFT1,-0.026,-1.8,-2.6,0.8,Concordant Down
UBAC2-AS1,-0.098,-0.7,-2.6,-1.2,Concordant Down
UBAP1L,-0.034,-1.9,-1.1,0.0,Concordant Down
UBE2E2,-0.003,-1.1,-2.4,-2.8,Concordant Down
UNC13B,-0.015,-1.7,-1.4,-1.4,Concordant Down
UNC79,-0.018,-1.4,-3.0,-4.2,Concordant Down
UPB1,-0.033,-1.9,-0.1,-1.5,Concordant Down
USP21,-0.11,-1.1,-0.9,-1.0,Concordant Down
USP3-AS1,-0.34,-0.8,-0.1,-0.6,Concordant Down
USP31,-0.053,-0.8,-0.8,-1.1,Concordant Down
UST,-0.091,-0.6,-0.7,1.8,Concordant Down
VLDLR,0.0,-1.5,-2.9,-3.3,Concordant Down
VPS9D1-AS1,-0.029,-0.7,-1.8,-1.3,Concordant Down
WASHC1,-0.065,-1.0,-0.3,-0.1,Concordant Down
WBP2NL,-0.098,-1.5,0.6,-1.1,Concordant Down
WDR86,-0.218,-2.5,-1.7,0.4,Concordant Down
WDR86-AS1,-0.13,-2.8,-3.2,-1.1,Concordant Down
TUBAP2,0.0,-1.6,-0.9,0.0,Concordant Down
WHRN,-0.19,-2.4,-0.6,-0.1,Concordant Down
TUBA8,-0.032,-1.9,-0.7,0.3,Concordant Down
TTBK2,-0.09,-1.7,-1.2,0.4,Concordant Down
TRAV23DV6,-0.031,-0.7,-0.7,-0.4,Concordant Down
TRAV35,0.0,-0.8,-1.1,-0.8,Concordant Down
TRBD1,-0.025,-0.9,0.3,0.6,Concordant Down
TRBJ1-2,0.0,-0.8,-0.9,-0.3,Concordant Down
TRBV21-1,-0.016,-2.4,0.2,-2.5,Concordant Down
TRBV27,-0.012,-5.4,-1.9,0.3,Concordant Down
TRBV30,-0.048,-1.2,-0.3,-1.5,Concordant Down
TRBV7-2,-0.006,-1.6,2.7,-1.4,Concordant Down
TRBV7-4,-0.043,-3.4,-1.5,-0.8,Concordant Down
TRGV5P,0.0,-0.9,-2.2,-1.7,Concordant Down
TRGV7,-0.025,-1.3,0.6,-0.7,Concordant Down
TRIM3,-0.038,-1.2,-0.2,1.0,Concordant Down
TRPV3,0.0,-1.0,1.7,2.3,Concordant Down
TSC22D1,-0.089,-2.2,-1.1,-0.7,Concordant Down
TSNAXIP1,-0.097,-1.6,-0.4,0.7,Concordant Down
TSPAN13,-0.004,-2.1,-0.6,-0.8,Concordant Down
TSPAN18,-0.025,-3.1,-2.8,-2.0,Concordant Down
TSPAN33,-0.121,-2.4,-2.4,0.9,Concordant Down
TSPYL2,-0.944,-0.9,-0.8,-0.6,Concordant Down
TUBA1A,-0.184,-0.6,-0.2,0.2,Concordant Down
WNT10A,-0.028,-1.5,-3.6,0.5,Concordant Down
WNT7A,-0.169,-4.8,-4.1,0.9,Concordant Down
WWC1,-0.022,-2.8,-3.5,-3.0,Concordant Down
