gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953539,2_DR0701_Baseline_lib40388,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953540,2_DR0701_Baseline_lib40389,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953541,2_DR0701_Baseline_lib40390,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953542,2_DR0701_Baseline_lib40391,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953543,2_DR0701_Baseline_lib40392,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953544,2_DR0701_Baseline_lib40393,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953545,2_DR0701_Baseline_lib40394,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953546,2_DR0701_Baseline_lib40395,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953547,2_DR0701_Baseline_lib40396,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953548,2_DR0701_Baseline_lib40397,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953549,2_DR0701_Baseline_lib40398,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953550,2_DR0701_Baseline_lib40399,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953551,2_DR0701_Baseline_lib40400,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953552,2_DR0701_Baseline_lib40401,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953553,2_DR0701_Baseline_lib40402,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953554,2_DR0701_Baseline_lib40403,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953555,2_DR0701_Baseline_lib40404,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953556,2_DR0701_Baseline_lib40405,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953557,2_DR0701_Baseline_lib40406,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953558,2_DR0701_Baseline_lib40407,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953559,2_DR0701_Baseline_lib40408,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953560,2_DR0701_Baseline_lib40409,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953561,2_DR0701_Baseline_lib40410,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953562,2_DR0701_Baseline_lib40411,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953563,2_DR0701_Baseline_lib40412,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953564,2_DR0701_Baseline_lib40413,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953565,2_DR0701_Baseline_lib40414,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953566,2_DR0701_Baseline_lib40415,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953567,2_DR0701_Baseline_lib40416,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953568,2_DR0701_Baseline_lib40417,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953569,2_DR0701_Baseline_lib40418,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953570,2_DR0701_Baseline_lib40419,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953571,2_DR0701_Baseline_lib40420,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953572,2_DR0701_Baseline_lib40421,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953573,2_DR0701_Baseline_lib40422,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953574,2_DR0701_Baseline_lib40423,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953575,2_DR0701_Baseline_lib40424,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953576,2_DR0701_Baseline_lib40425,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953577,2_DR0701_Baseline_lib40426,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953578,2_DR0701_Baseline_lib40427,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953579,2_DR0701_Baseline_lib40428,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953580,2_DR0701_Baseline_lib40429,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953581,2_DR0701_Baseline_lib40430,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953582,2_DR0701_Baseline_lib40431,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953583,2_DR0701_Baseline_lib40432,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953584,2_DR0701_Baseline_lib40433,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953585,2_DR0701_Baseline_lib40434,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953586,2_DR0701_Baseline_lib40435,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953587,2_DR0701_Baseline_lib40436,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953588,2_DR0701_Baseline_lib40437,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953589,2_DR0701_Baseline_lib40438,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953590,2_DR0701_Baseline_lib40439,CD4 T cell,2,DR0701,FALSE,Baseline
GSM7953591,2_DR0701_Baseline_lib40440,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953592,2_DR0701_Baseline_lib40441,CD4 T cell,2,DR0701,TRUE,Baseline
GSM7953593,2_DR0701_Baseline_lib40442,CD4 T cell,2,DR0701,TRUE,Baseline
