"","D14","D60","D74","D365"
"ENSG00000123416",0.000179155502616236,0.322962066826705,0.00880417684764659,0.946917619297161
"ENSG00000153094",0.000179155502616236,0.0487853231259988,0.00084572503783045,0.251971563095209
"ENSG00000182107",0.000179155502616236,0.135369888762144,0.0598661148786196,0.0270906424936756
"ENSG00000172965",0.000179155502616236,0.0360977619348057,0.000816341645594783,0.201503732162636
"ENSG00000100722",0.000202716827017115,0.367843137748955,0.0164229169414915,0.301909845587123
"ENSG00000198763",0.000279107442659072,0.425745182116934,0.0142566761362752,0.156648434948079
"ENSG00000152492",0.000279107442659072,0.104874914259331,0.00084572503783045,0.148477336928034
"ENSG00000002586",0.000686708284585769,0.398434789024435,0.0116158355271408,0.33367442463168
"ENSG00000165169",0.000686708284585769,0.0489671459434485,0.00990175397373115,0.987155702034583
"ENSG00000140612",0.00070391294840399,0.255466759225871,0.000816341645594783,0.0148226795436067
"ENSG00000088325",0.00070391294840399,0.844518600020329,0.0189304052169533,0.52623925167543
"ENSG00000111490",0.000751842601406649,0.844055139280152,0.699813941508197,0.995308664005571
"ENSG00000100554",0.000781861675332251,0.982306565718015,0.674606093570461,0.321770086231088
"ENSG00000122644",0.000838195397642423,0.396626530133821,0.0626225382428802,0.630815142886666
"ENSG00000110777",0.0008861405994332,0.530000359225193,0.0161147470156421,0.860024539111552
"ENSG00000102174",0.00127592126213568,0.0999296944805091,0.000816341645594783,0.130020890340916
"ENSG00000168685",0.00130144050877617,0.530000359225193,0.0626225382428802,0.0222954893343241
"ENSG00000169554",0.00130144050877617,0.0672970502242012,0.000816341645594783,0.0148226795436067
"ENSG00000180628",0.00130144050877617,0.161783134906717,0.0331594806552199,0.425910884203345
"ENSG00000008282",0.00130144050877617,0.579349001131463,0.0164925952631311,0.615660745963442
"ENSG00000145390",0.00130144050877617,0.109956845274621,0.0142566761362752,0.0954908855491041
"ENSG00000224959",0.00130144050877617,0.0403443622493598,0.00589908608203863,0.391638247981567
"ENSG00000160183",0.00130144050877617,0.990342279928231,0.144569155708098,0.589565644584592
"ENSG00000124788",0.00130144050877617,0.255466759225871,0.0661562176916598,0.985440977768392
"ENSG00000240350",0.00130144050877617,0.12172537151125,0.00146444454872817,0.559506697373932
"ENSG00000197696",0.00130144050877617,0.0756128239117332,0.00239583741312526,0.243284328911711
"ENSG00000143669",0.00130144050877617,0.255466759225871,0.000816341645594783,0.487056181109098
"ENSG00000254911",0.00133429168693236,0.255466759225871,0.0188039752360349,0.576912925131264
"ENSG00000163599",0.00134271449581171,0.0487853231259988,0.0023344514772998,0.11203904904888
"ENSG00000105699",0.00137577248228192,0.738491680184781,0.0996368461358652,0.376122983692514
"ENSG00000109861",0.0016362548093629,0.113497093860719,0.0023344514772998,0.183306997881879
"ENSG00000163600",0.00166574719503205,0.255466759225871,0.00880417684764659,0.32977546102245
"ENSG00000134709",0.00234820000252119,0.511068349590186,0.0393983002483892,0.0393072796467654
"ENSG00000198727",0.00257404972356415,0.581529646839068,0.0999007797142999,0.205706279367927
"ENSG00000148175",0.00264853397916046,0.354614049745602,0.0132879533860542,0.0360226495874785
"ENSG00000198734",0.0028590968889863,0.0295375719195368,0.00084572503783045,0.372994146459098
"ENSG00000182866",0.00302530497368973,0.891652079834848,0.0519932694828237,0.404246849542365
"ENSG00000198886",0.00376441951112957,0.591482327651638,0.115896105517214,0.201503732162636
"ENSG00000198695",0.00376441951112957,0.679040959136844,0.301142730677374,0.540462468950552
"ENSG00000176124",0.00376441951112957,0.255466759225871,0.0996368461358652,0.945652394270926
"ENSG00000143184",0.00376441951112957,0.211270912786045,0.0450457123504178,0.327227753928514
"ENSG00000117676",0.00376441951112957,0.956347732758617,0.653763072925202,0.0606535099386156
"ENSG00000124762",0.00384946574122169,0.291213780248895,0.0772841101082219,0.185281549005413
"ENSG00000130755",0.00418401318114638,0.679040959136844,0.050644536447134,0.732022657956835
"ENSG00000198888",0.00418401318114638,0.874344344219293,0.0648473702669407,0.191794246626931
"ENSG00000100528",0.00418401318114638,0.451250903612924,0.0142566761362752,0.142291779114963
"ENSG00000084234",0.00418401318114638,0.622568776979627,0.196775114509252,0.256681163705145
"ENSG00000166582",0.00452532220584029,0.255466759225871,0.0693072088696696,0.911883904498721
"ENSG00000234231",0.00452532220584029,0.653825266288217,0.00549282751429999,0.183306997881879
"ENSG00000067334",0.00452532220584029,0.746701852564285,0.0210312970369472,0.573742038457441
"ENSG00000263874",0.00466647551441654,0.962224732202523,0.932933999051762,0.786293850718408
"ENSG00000188229",0.00483387661669054,0.893619907996681,0.346669263750442,0.667206973390327
"ENSG00000123685",0.00483387661669054,0.40038552868812,0.0517762098740181,0.321512892500818
"ENSG00000157349",0.00483387661669054,0.0487853231259988,0.0167258523379833,0.0905071283612314
"ENSG00000124225",0.00508797688900919,0.873870594761896,0.123609351491259,0.95236454824157
"ENSG00000135404",0.0056882845322313,0.322962066826705,0.0849518283634825,0.296255700477394
"ENSG00000111674",0.0056882845322313,0.440458725423268,0.0594680043985987,0.507690886306268
"ENSG00000173812",0.00574630518374041,0.379083570434556,0.0142566761362752,0.539894014846884
"ENSG00000142731",0.00609925350191012,0.995027884723281,0.88238680003247,0.843539712799763
"ENSG00000176105",0.00610449800999267,0.795516459376384,0.0755000859197524,0.0751791984314367
"ENSG00000123739",0.00611650909029136,0.379083570434556,0.0276182044714296,0.0931808844787437
"ENSG00000135077",0.00611650909029136,0.0295375719195368,0.00147120961563416,0.0148226795436067
