group,donor,timepoint,n_cells
2_D0,2,D0,73
1_D0,1,D0,66
2_D14,2,D14,74
6_D0,6,D0,84
7_D0,7,D0,70
10_D0,10,D0,74
1_D14,1,D14,81
9_D0,9,D0,58
6_D14,6,D14,89
8_D14,8,D14,79
9_D14,9,D14,81
8_D0,8,D0,37
10_D14,10,D14,78
7_D14,7,D14,82
2_D60,2,D60,77
1_D60,1,D60,73
6_D60,6,D60,72
2_D74,2,D74,72
8_D60,8,D60,40
6_D74,6,D74,83
7_D60,7,D60,59
7_D74,7,D74,68
8_D74,8,D74,77
1_D74,1,D74,68
6_D365,6,D365,56
10_D365,10,D365,72
9_D365,9,D365,84
1_D365,1,D365,71
8_D365,8,D365,84
2_D365,2,D365,86
7_D365,7,D365,63
