Gene,HRA_LFC,HRA_sig,RZV_D14,RZV_D74,RZV_D365,Pattern
GZMA,0.8,***,2.7,3.7,1.7,Both up
GZMK,0.44,***,,,,Neither sig
NKG7,1.29,***,-0.2,0.3,0.8,HZ T-cell only
PRF1,0.53,***,0.5,1.1,1.4,HZ T-cell only
GNLY,-0.62,***,-2.3,3.1,3.3,Both down
IL7R,0.65,***,-1.2,-0.7,-1.0,OPPOSITE
CCR7,,ns,0.7,0.3,-0.1,RZV T-cell only
TCF7,,ns,0.5,0.2,-0.1,Neither sig
LEF1,,ns,-0.5,-0.6,-1.3,Neither sig
SELL,-0.32,***,,,,Neither sig
CTLA4,,ns,1.5,1.6,1.0,RZV T-cell only
TIGIT,1.1,***,0.8,1.0,0.2,Both up
PDCD1,,ns,0.7,0.8,0.2,RZV T-cell only
HAVCR2,,ns,7.6,9.1,8.0,RZV T-cell only
LAG3,,ns,1.5,1.6,0.0,RZV T-cell only
ICOS,,ns,1.3,1.2,0.6,RZV T-cell only
CD38,,ns,6.6,3.3,0.1,RZV T-cell only
HLA-DRA,0.38,***,4.0,4.7,0.1,RZV T-cell only
TNFRSF4,,ns,0.7,0.7,0.5,RZV T-cell only
CD69,-1.21,***,-0.9,-0.7,-0.0,Both down
ZEB2,,ns,3.2,3.6,3.0,RZV T-cell only
IRF4,,ns,0.6,0.8,0.1,RZV T-cell only
TBX21,,ns,-0.5,-0.5,-1.1,Neither sig
GATA3,,ns,1.0,1.0,0.9,RZV T-cell only
TOX,,ns,1.3,2.2,0.5,RZV T-cell only
BCL6,,ns,0.7,1.1,-0.2,RZV T-cell only
CXCR5,,ns,-0.9,-0.1,-1.8,RZV T-cell only
IL21,,ns,1.8,2.3,1.9,RZV T-cell only
CXCL13,,ns,3.3,7.4,2.5,RZV T-cell only
ISG15,-0.37,***,0.1,-0.4,-0.1,Neither sig
STAT1,0.85,***,-0.2,-0.4,-0.1,HZ T-cell only
MX1,,ns,-0.3,-0.5,0.1,Neither sig
IFIT5,,ns,-0.9,-1.0,-0.1,RZV T-cell only
RPL21,4.71,***,-0.1,-0.2,-0.0,HZ T-cell only
DUSP2,-2.76,***,-0.0,-0.4,-0.3,HZ T-cell only
JUNB,-2.75,***,,,,HZ T-cell only
TSC22D3,-2.45,***,0.6,0.9,1.6,OPPOSITE
RARRES3,3.23,***,,,,HZ T-cell only
IL2RG,3.06,***,,,,HZ T-cell only
H3F3B,3.62,***,,,,HZ T-cell only
CD8A,0.52,***,,,,HZ T-cell only
