Gene,HRA_LFC,HRA_sig,RZV_D14,RZV_D74,RZV_D365,Direction
VBP1,0.55,***,-0.2,-0.5,0.1,OPPOSITE (HZ↑ RZV↓)
TRANK1,0.31,***,0.6,0.9,-0.6,CONCORDANT ↑
MRPL20,0.31,***,-0.2,-0.3,-0.0,OPPOSITE (HZ↑ RZV↓)
SEM1,0.41,***,0.4,0.2,0.1,CONCORDANT ↑
ZKSCAN1,0.29,***,1.0,0.5,0.2,CONCORDANT ↑
RPL23A,0.42,***,-0.1,-0.4,-0.3,OPPOSITE (HZ↑ RZV↓)
ASXL1,-0.29,***,0.2,0.3,0.1,OPPOSITE (HZ↓ RZV↑)
MRPL43,0.4,***,0.4,0.2,0.4,CONCORDANT ↑
BATF,0.64,***,0.5,0.3,-0.3,CONCORDANT ↑
ACTG1,1.67,***,-0.4,-0.0,-0.2,OPPOSITE (HZ↑ RZV↓)
WASHC3,0.32,***,1.0,0.7,-0.1,CONCORDANT ↑
PTPN4,0.63,***,-0.6,-0.7,-0.4,OPPOSITE (HZ↑ RZV↓)
SUCLG1,0.5,***,0.3,-0.1,0.0,CONCORDANT ↑
PTPRE,-0.26,***,-0.0,0.0,-0.1,CONCORDANT ↓
RPS21,1.23,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
PPID,0.3,***,0.5,0.4,0.6,CONCORDANT ↑
ITGB1,0.43,***,-0.3,-0.1,0.2,OPPOSITE (HZ↑ RZV↓)
LINC00324,0.32,***,1.1,3.0,1.9,CONCORDANT ↑
ARL4C,-0.84,***,0.1,0.6,0.0,OPPOSITE (HZ↓ RZV↑)
IMP4,-0.39,***,0.0,-0.1,0.4,OPPOSITE (HZ↓ RZV↑)
POLR2K,0.28,***,-0.3,-0.4,0.0,OPPOSITE (HZ↑ RZV↓)
KMT2E,-0.34,***,-0.1,0.2,-0.0,CONCORDANT ↓
RPL19,0.94,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
APRT,-0.28,***,0.1,-0.2,0.0,OPPOSITE (HZ↓ RZV↑)
HMGN2,-0.54,**,0.1,-0.4,0.5,OPPOSITE (HZ↓ RZV↑)
CD69,-1.21,***,-0.9,-0.7,-0.0,CONCORDANT ↓
RPL15P3,0.67,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
TMPO,0.47,***,0.5,-0.5,0.2,CONCORDANT ↑
MED1,0.3,***,-0.6,0.0,-0.8,OPPOSITE (HZ↑ RZV↓)
PTBP3,0.68,***,0.1,0.2,-0.0,CONCORDANT ↑
TRAF3IP3,0.32,***,2.9,3.2,1.4,CONCORDANT ↑
PTGDR,0.46,***,-2.8,-4.8,0.9,OPPOSITE (HZ↑ RZV↓)
ZBTB38,0.57,***,1.5,1.7,1.3,CONCORDANT ↑
NPAT,0.51,***,-0.5,-0.6,-0.4,OPPOSITE (HZ↑ RZV↓)
NDUFB1,0.32,***,0.4,0.4,0.3,CONCORDANT ↑
CHCHD3,-1.86,***,-0.1,-0.5,0.2,CONCORDANT ↓
CD8B,0.28,***,1.5,0.6,-0.4,CONCORDANT ↑
PLIN2,-0.43,***,0.2,0.3,0.3,OPPOSITE (HZ↓ RZV↑)
LIMA1,0.29,***,2.0,1.9,0.6,CONCORDANT ↑
LAX1,0.34,***,0.7,0.9,-0.2,CONCORDANT ↑
CBX3,0.26,***,0.4,0.1,0.2,CONCORDANT ↑
C12orf57,0.62,***,-0.1,-0.4,-0.4,OPPOSITE (HZ↑ RZV↓)
SUMO2,1.88,***,-0.0,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
RBFOX2,-1.92,***,-1.6,-3.1,-1.3,CONCORDANT ↓
NDUFB4,0.5,***,-0.1,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
ACAA1,-0.29,***,0.3,0.3,0.4,OPPOSITE (HZ↓ RZV↑)
URI1,-0.45,***,0.2,-0.1,-0.3,OPPOSITE (HZ↓ RZV↑)
SNRNP27,0.44,***,-0.3,-0.5,0.4,OPPOSITE (HZ↑ RZV↓)
DNAJB6,-0.49,*,0.1,0.1,0.3,OPPOSITE (HZ↓ RZV↑)
RBM26,0.34,***,-0.4,-0.3,-0.5,OPPOSITE (HZ↑ RZV↓)
BTN3A1,0.34,***,1.2,1.3,0.4,CONCORDANT ↑
POLR2L,0.34,***,-0.1,-0.2,0.1,OPPOSITE (HZ↑ RZV↓)
ZC3H14,0.38,***,1.4,1.0,0.5,CONCORDANT ↑
POLR2E,-0.3,***,0.1,-0.0,0.4,OPPOSITE (HZ↓ RZV↑)
MTPN,0.95,***,-0.2,-0.0,-0.4,OPPOSITE (HZ↑ RZV↓)
CXCR4,-1.33,***,-1.5,-0.9,-0.4,CONCORDANT ↓
MLH3,0.28,***,0.6,0.2,0.2,CONCORDANT ↑
KDM2A,-0.26,***,0.3,0.4,-0.1,OPPOSITE (HZ↓ RZV↑)
WBP11,-0.31,***,-0.4,-0.5,0.2,CONCORDANT ↓
NFE2L2,-0.26,***,0.0,-0.2,0.1,OPPOSITE (HZ↓ RZV↑)
PBXIP1,-0.35,***,1.1,1.5,0.3,OPPOSITE (HZ↓ RZV↑)
SVIP,-0.46,***,-0.6,-0.9,0.4,CONCORDANT ↓
SEPHS2,0.3,***,1.6,1.3,1.2,CONCORDANT ↑
MT-CO3,-0.48,***,-0.3,-0.3,-0.2,CONCORDANT ↓
RAB11A,0.3,***,0.0,-0.2,0.1,CONCORDANT ↑
DOCK8,0.28,***,0.0,0.2,-0.7,CONCORDANT ↑
TGFB1,-1.08,***,-0.9,-0.2,-0.1,CONCORDANT ↓
ARHGEF3,0.63,***,-0.0,-0.1,-0.4,OPPOSITE (HZ↑ RZV↓)
RPL7L1,0.27,***,0.1,-0.1,-0.0,CONCORDANT ↑
ARL8A,-0.31,***,-0.4,0.0,-0.3,CONCORDANT ↓
DBI,0.29,***,0.5,0.2,0.4,CONCORDANT ↑
SDF4,-0.29,***,0.3,0.0,0.1,OPPOSITE (HZ↓ RZV↑)
SRSF3,0.75,***,-0.2,-0.3,0.2,OPPOSITE (HZ↑ RZV↓)
WASHC4,0.32,***,0.2,0.4,0.2,CONCORDANT ↑
ATP5F1A,0.52,***,0.3,0.1,0.2,CONCORDANT ↑
SLC25A3,0.62,***,-0.0,-0.0,-0.0,OPPOSITE (HZ↑ RZV↓)
TRAC,1.15,***,-0.3,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
ISG20,-0.37,***,-0.2,-0.1,-0.0,CONCORDANT ↓
GIMAP4,1.9,***,0.0,-0.2,-0.9,CONCORDANT ↑
RNF5,0.32,***,0.1,0.2,0.5,CONCORDANT ↑
RPL6P27,0.56,***,0.0,-0.1,-0.5,CONCORDANT ↑
RBL2,0.8,***,0.5,0.5,0.2,CONCORDANT ↑
BST2,0.36,***,0.3,-0.0,0.7,CONCORDANT ↑
ANKLE2,-0.43,*,0.3,0.3,0.2,OPPOSITE (HZ↓ RZV↑)
CTNNBL1,-0.39,***,0.0,-0.2,0.4,OPPOSITE (HZ↓ RZV↑)
USO1,0.32,***,0.0,0.3,-0.1,CONCORDANT ↑
RPS20,1.04,***,-0.3,-0.5,-0.3,OPPOSITE (HZ↑ RZV↓)
POLR2G,0.46,***,0.2,-0.0,0.2,CONCORDANT ↑
NAMPT,-1.69,***,0.1,0.2,-0.0,OPPOSITE (HZ↓ RZV↑)
CEBPB,-1.27,***,-0.4,0.1,0.4,CONCORDANT ↓
GBP4,0.78,***,-0.3,-0.7,-0.4,OPPOSITE (HZ↑ RZV↓)
ACTR2,0.97,***,0.4,0.4,0.1,CONCORDANT ↑
JAGN1,0.31,***,0.2,0.3,0.0,CONCORDANT ↑
SACM1L,0.7,***,0.4,0.3,0.7,CONCORDANT ↑
ARL6IP5,0.4,***,0.7,0.5,0.1,CONCORDANT ↑
TOB2,0.25,***,0.0,0.3,-0.1,CONCORDANT ↑
VDAC1,0.42,***,-0.3,-0.5,-0.0,OPPOSITE (HZ↑ RZV↓)
METRNL,-1.09,***,-2.0,-1.3,-0.6,CONCORDANT ↓
PRKCH,0.53,***,-0.3,-0.2,-0.2,OPPOSITE (HZ↑ RZV↓)
MTIF3,0.48,***,0.9,0.9,0.8,CONCORDANT ↑
RAB5A,-0.34,***,0.3,0.4,0.3,OPPOSITE (HZ↓ RZV↑)
COPB2,0.49,***,0.1,-0.2,0.2,CONCORDANT ↑
AMBRA1,-3.4,***,1.3,1.4,-0.2,OPPOSITE (HZ↓ RZV↑)
SKA2,0.35,***,1.0,1.9,-0.5,CONCORDANT ↑
CFL1,0.27,***,-0.2,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
TPM3,0.32,***,-0.0,0.2,0.2,OPPOSITE (HZ↑ RZV↓)
ICE2,0.38,***,0.5,0.2,0.2,CONCORDANT ↑
NDUFV1,-0.37,***,0.3,0.5,0.2,OPPOSITE (HZ↓ RZV↑)
PTMA,-1.03,***,-0.4,-0.4,-0.2,CONCORDANT ↓
USP24,0.33,***,0.5,0.3,0.3,CONCORDANT ↑
RABAC1,-0.26,***,-0.3,-0.0,-0.1,CONCORDANT ↓
TUBB,0.54,***,-1.5,-1.3,-0.5,OPPOSITE (HZ↑ RZV↓)
MORC3,0.31,***,-0.5,-0.4,0.4,OPPOSITE (HZ↑ RZV↓)
IL10RA,0.39,***,-0.9,0.2,-1.6,OPPOSITE (HZ↑ RZV↓)
CALR,-1.07,***,0.0,-0.0,0.3,OPPOSITE (HZ↓ RZV↑)
ARPC2,0.28,***,0.2,0.3,0.2,CONCORDANT ↑
RPL6,0.85,***,0.0,-0.1,0.1,CONCORDANT ↑
BAZ1B,0.34,***,0.0,-0.0,-0.2,CONCORDANT ↑
DDOST,-0.47,*,-0.1,-0.1,0.3,CONCORDANT ↓
PARK7,0.3,***,0.1,-0.0,0.1,CONCORDANT ↑
PKM,-0.42,***,-0.1,-0.3,-0.2,CONCORDANT ↓
SARAF,-0.28,***,0.0,0.2,0.1,OPPOSITE (HZ↓ RZV↑)
MYDGF,-0.36,***,-0.1,-0.1,0.4,CONCORDANT ↓
DDX23,0.32,***,-0.3,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
IMP3,0.29,***,-0.0,0.0,-0.0,OPPOSITE (HZ↑ RZV↓)
USP34,0.41,***,-0.2,0.1,-0.3,OPPOSITE (HZ↑ RZV↓)
AK6,0.42,***,-0.1,-0.2,0.1,OPPOSITE (HZ↑ RZV↓)
GIMAP8,0.55,***,1.7,0.3,-2.2,CONCORDANT ↑
GTF2H5,0.56,***,0.6,0.1,-0.3,CONCORDANT ↑
SCAND1,-0.26,***,0.1,0.1,0.1,OPPOSITE (HZ↓ RZV↑)
IAH1,0.37,***,0.1,0.2,0.2,CONCORDANT ↑
HSPA8,1.16,***,-0.3,-0.5,-0.2,OPPOSITE (HZ↑ RZV↓)
ME2,0.45,***,0.4,0.2,-0.0,CONCORDANT ↑
NDUFC1,0.25,***,0.3,-0.0,-0.1,CONCORDANT ↑
ST6GAL1,0.63,***,1.5,1.6,0.0,CONCORDANT ↑
CD63,0.46,***,-1.0,-0.8,0.4,OPPOSITE (HZ↑ RZV↓)
FOS,-1.47,***,-0.1,-0.6,1.6,CONCORDANT ↓
USP14,0.26,***,-0.4,-0.6,-0.4,OPPOSITE (HZ↑ RZV↓)
ABCE1,0.31,***,0.1,0.0,-0.1,CONCORDANT ↑
AHNAK,1.09,***,-0.2,0.8,-0.3,OPPOSITE (HZ↑ RZV↓)
LBH,0.54,***,0.3,0.2,-0.5,CONCORDANT ↑
YPEL5,-0.53,**,0.6,0.4,0.5,OPPOSITE (HZ↓ RZV↑)
ZMAT2,0.51,***,0.4,0.2,0.1,CONCORDANT ↑
TRAM1,0.31,***,-0.2,-0.1,0.4,OPPOSITE (HZ↑ RZV↓)
BAIAP2L1,-2.32,***,-1.3,-1.8,0.5,CONCORDANT ↓
RPLP0,0.47,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
EIF6,1.0,***,0.2,0.0,0.1,CONCORDANT ↑
GUK1,-0.41,***,-0.0,0.0,0.1,CONCORDANT ↓
RPL9,2.78,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
STK17A,0.29,***,-0.6,-0.7,-0.0,OPPOSITE (HZ↑ RZV↓)
MED11,0.33,***,0.2,-0.2,0.1,CONCORDANT ↑
ATP2B4,0.68,***,1.3,1.4,0.5,CONCORDANT ↑
TC2N,0.42,***,-0.6,0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
UBE2N,0.39,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
TRIM38,0.39,***,0.0,-0.7,0.4,CONCORDANT ↑
PIM1,0.29,***,0.1,0.2,-0.4,CONCORDANT ↑
