Gene,HRA_Tcell_LFC,HRA_Tcell_sig,HZ_Bulk_LFC,HZ_Bulk_sig,RZV_D14,RZV_D74,RZV_D365,Category
CD4,,ns,-0.09,ns,0.9,1.3,0.4,"★ RZV visible, HZ bulk masked"
CD3E,,ns,0.3,**,-0.1,-0.3,-0.3,Stable in all
CD8A,0.52,***,0.65,**,,,,HZ bulk only (non-T source)
CD8B,0.28,***,0.51,*,1.5,0.6,-0.4,"★ RZV visible, HZ bulk masked"
ZEB2,,ns,-0.11,ns,3.2,3.6,3.0,"★ RZV visible, HZ bulk masked"
CTLA4,,ns,0.28,ns,1.5,1.6,1.0,"★ RZV visible, HZ bulk masked"
ICOS,,ns,0.14,ns,1.3,1.2,0.6,"★ RZV visible, HZ bulk masked"
HAVCR2,,ns,0.05,ns,7.6,9.1,8.0,"★ RZV visible, HZ bulk masked"
TIGIT,1.1,***,0.27,ns,0.8,1.0,0.2,"★ RZV visible, HZ bulk masked"
PDCD1,,ns,1.52,***,0.7,0.8,0.2,All datasets agree
LAG3,,ns,0.88,**,1.5,1.6,0.0,All datasets agree
GZMA,0.8,***,1.07,***,2.7,3.7,1.7,T cell signal in both scRNA datasets
GZMB,-0.34,*,,ns,,,,Stable in all
GZMK,0.44,***,,ns,,,,Stable in all
PRF1,0.53,***,0.21,ns,0.5,1.1,1.4,scRNA T-cell only (bulk masked)
GNLY,-0.62,***,0.17,ns,-2.3,3.1,3.3,"★ RZV visible, HZ bulk masked"
NKG7,1.29,***,0.44,*,-0.2,0.3,0.8,scRNA T-cell only (bulk masked)
CCR7,,ns,0.19,ns,0.7,0.3,-0.1,"★ RZV visible, HZ bulk masked"
IL7R,0.65,***,0.18,ns,-1.2,-0.7,-1.0,"★ RZV visible, HZ bulk masked"
TCF7,,ns,0.13,ns,0.5,0.2,-0.1,Stable in all
SELL,-0.32,***,,ns,,,,Stable in all
LEF1,,ns,-0.11,ns,-0.5,-0.6,-1.3,Stable in all
CXCR5,,ns,-0.0,ns,-0.9,-0.1,-1.8,"★ RZV visible, HZ bulk masked"
BCL6,,ns,-0.13,ns,0.7,1.1,-0.2,"★ RZV visible, HZ bulk masked"
CXCL13,,ns,0.05,ns,3.3,7.4,2.5,"★ RZV visible, HZ bulk masked"
IL21,,ns,0.64,ns,1.8,2.3,1.9,"★ RZV visible, HZ bulk masked"
IRF4,,ns,0.4,*,0.6,0.8,0.1,"★ RZV visible, HZ bulk masked"
TBX21,,ns,0.24,ns,-0.5,-0.5,-1.1,Stable in all
GATA3,,ns,0.14,ns,1.0,1.0,0.9,"★ RZV visible, HZ bulk masked"
RORC,,ns,0.15,ns,0.7,1.0,0.9,"★ RZV visible, HZ bulk masked"
STAT1,0.85,***,0.6,***,-0.2,-0.4,-0.1,HZ bulk only (non-T source)
STAT3,,ns,-0.1,ns,-0.1,-0.2,-0.6,Stable in all
TOX,,ns,-0.04,ns,1.3,2.2,0.5,"★ RZV visible, HZ bulk masked"
TOX2,,ns,0.11,ns,5.3,5.0,1.7,"★ RZV visible, HZ bulk masked"
CD38,,ns,0.55,***,6.6,3.3,0.1,"★ RZV visible, HZ bulk masked"
HLA-DRA,0.38,***,0.47,*,4.0,4.7,0.1,"★ RZV visible, HZ bulk masked"
CD69,-1.21,***,0.2,ns,-0.9,-0.7,-0.0,"★ RZV visible, HZ bulk masked"
TNFRSF4,,ns,1.16,*,0.7,0.7,0.5,All datasets agree
TNFRSF9,,ns,-0.32,ns,0.1,0.5,1.0,Stable in all
ISG15,-0.37,***,1.57,***,0.1,-0.4,-0.1,HZ bulk only (non-T source)
IFI27,,ns,2.16,***,2.0,-2.2,0.1,All datasets agree
RSAD2,,ns,1.55,***,-1.8,-2.1,-0.2,All datasets agree
IFI44L,,ns,1.82,***,-2.1,-0.4,-0.3,All datasets agree
MX1,,ns,0.96,**,-0.3,-0.5,0.1,HZ bulk only (non-T source)
OASL,0.36,***,0.82,***,0.1,-0.7,1.0,HZ bulk only (non-T source)
SPP1,,ns,,ns,,,,Stable in all
MZB1,,ns,1.68,***,-0.8,1.0,0.3,All datasets agree
SERPING1,,ns,1.8,***,,,,HZ bulk only (non-T source)
TOP2A,,ns,1.5,***,7.1,5.9,1.0,All datasets agree
MKI67,,ns,1.24,***,4.0,1.9,-0.5,All datasets agree
