gene,pathway,HZ_log2FC,HZ_padj,RZV_D14,RZV_D60,RZV_D74,RZV_D365
ISG15,Type I IFN,1.078,0.0041800903926802,0.138,0.243,-0.361,-0.093
RSAD2,Type I IFN,1.007,0.0333486453367501,-1.998,0.631,-1.98,-0.143
IFI44L,Type I IFN,1.092,0.0496146860705329,-2.114,-0.335,-0.449,-0.271
IFI44,Type I IFN,0.723,0.136169893273599,-1.002,-0.675,-1.69,-0.008
IFI27,Type I IFN,1.225,0.0471925797260066,2.034,2.86,-2.286,0.138
IFI35,Type I IFN,0.529,0.0298071115124864,-0.127,-0.745,-0.118,0.509
MX1,Type I IFN,0.696,0.0627939377699249,-0.29,0.188,-0.493,0.101
MX2,Type I IFN,0.069,0.763908546995324,-0.534,-0.066,-0.067,-0.096
OAS1,Type I IFN,,,,,,
OAS2,Type I IFN,,,,,,
OAS3,Type I IFN,,,,,,
OASL,Type I IFN,0.572,0.0969067794637751,0.05,0.162,-0.767,0.968
IFIT1,Type I IFN,,,,,,
IFIT2,Type I IFN,,,,,,
IFIT3,Type I IFN,,,,,,
IFIT5,Type I IFN,0.854,0.000539371512076,-0.891,-0.076,-0.966,-0.118
IFITM1,Type I IFN,,,,,,
IFITM2,Type I IFN,-0.31,0.654930515806481,-0.114,-0.261,-0.061,-0.293
IFITM3,Type I IFN,,,,,,
IRF7,Type I IFN,0.507,0.0752831097646926,0.765,0.156,0.738,0.449
IRF9,Type I IFN,0.487,0.0572662538120137,-0.228,-0.003,-0.066,-0.07
STAT1,Type I IFN,0.359,0.151428209032079,-0.182,-0.224,-0.379,-0.087
STAT2,Type I IFN,0.45,0.041377968647144,0.737,0.435,0.495,0.145
DDX58,Type I IFN,,,,,,
DDX60,Type I IFN,0.466,0.109070426158317,-0.321,-0.148,-1.045,-0.063
IFIH1,Type I IFN,0.402,0.148379960582129,-0.503,-0.943,-0.96,0.469
EIF2AK2,Type I IFN,0.282,0.331203310699038,0.035,-0.011,-0.45,0.019
XAF1,Type I IFN,0.875,0.0098386319195966,-0.635,0.44,-0.244,0.28
SAMD9,Type I IFN,0.476,0.0050306312396235,-0.497,-0.054,-0.1,0.262
SAMD9L,Type I IFN,0.593,0.031883294484844,0.669,0.94,1.274,0.482
USP18,Type I IFN,0.729,0.0081925670425718,1.881,2.212,-0.325,2.288
ISG20,Type I IFN,0.111,0.487557320577371,-0.216,-0.135,-0.152,-0.038
HERC5,Type I IFN,0.7,0.0991340405180667,-3.008,-1.353,-0.713,-1.004
HERC6,Type I IFN,0.278,0.134953541710482,-1.988,-1.992,-1.88,-0.379
TRIM14,Type I IFN,0.284,0.0228360473037865,-0.509,-0.542,-0.804,-1.103
TRIM21,Type I IFN,0.174,0.368337850140988,0.708,0.269,0.547,0.003
TRIM25,Type I IFN,-0.034,0.895017837001424,0.235,0.499,-0.15,-0.537
TRIM26,Type I IFN,0.213,0.0664268477803273,-0.655,0.495,0.35,0.022
UBE2L6,Type I IFN,0.434,0.0319544274502105,0.152,0.173,-0.002,-0.105
PLSCR1,Type I IFN,0.194,0.576246397981202,0.579,0.249,-0.104,-0.423
RTP4,Type I IFN,0.882,0.0026244088371142,3.4,1.932,3.838,4.447
LGALS3BP,Type I IFN,0.694,,2.467,-0.587,3.756,-0.259
IRF1,Type II IFN hallmark,,,,,,
IRF8,Type II IFN hallmark,0.075,0.638163432046142,0.05,0.163,-0.052,0.045
STAT1,Type II IFN hallmark,0.359,0.151428209032079,-0.182,-0.224,-0.379,-0.087
STAT3,Type II IFN hallmark,-0.125,0.407749779820554,-0.043,-0.048,-0.135,-0.56
STAT4,Type II IFN hallmark,-0.208,0.101424834123649,-0.013,-0.01,0.137,0.338
CXCL9,Type II IFN hallmark,,,,,,
CXCL10,Type II IFN hallmark,,,,,,
CXCL11,Type II IFN hallmark,,,,,,
GBP1,Type II IFN hallmark,0.72,0.0354671056797868,-0.311,0.399,0.179,0.366
GBP2,Type II IFN hallmark,0.254,0.158536630293794,0.335,0.098,0.18,-0.533
GBP4,Type II IFN hallmark,0.522,0.040608565090011,-0.315,-0.274,-0.678,-0.35
GBP5,Type II IFN hallmark,0.694,0.0552941796546044,-0.338,-0.518,-0.677,-0.904
