Module,D0,D14,D60,D74,D365,p_D14_vs_D0,p_D60_vs_D0,p_D74_vs_D0,p_D365_vs_D0
Regulation_Of_B_Cell_Proliferation_GO_0030888,0.0098 ± 0.3417,0.0413 ± 0.3290,-0.0351 ± 0.3335,-0.0439 ± 0.3509,-0.0008 ± 0.2851,3.29e-02,6.48e-02,3.25e-02,8.17e-01
B_Cell_Receptor_Signaling_Pathway_GO_0050853,-0.0562 ± 0.3643,0.0668 ± 0.3507,-0.0623 ± 0.3085,0.0533 ± 0.4244,-0.0220 ± 0.3522,7.63e-12,4.26e-01,4.46e-07,5.46e-02
Positive_Regulation_Of_GTPase_Activity_GO_0043547,-0.0233 ± 0.2952,0.0679 ± 0.2598,-0.0136 ± 0.2670,-0.0182 ± 0.2604,-0.0320 ± 0.2539,4.05e-10,5.59e-01,3.32e-01,8.99e-01
Transmembrane_Receptor_Protein_Tyrosine_Kinase_Signaling_Pat,-0.0233 ± 0.2744,0.0585 ± 0.2488,-0.0310 ± 0.2471,-0.0232 ± 0.2711,-0.0073 ± 0.2444,6.71e-06,3.66e-01,6.14e-01,7.32e-01
Negative_Regulation_Of_Protein_Polymerization_GO_0032272,-0.0477 ± 0.4564,0.0526 ± 0.4459,0.0132 ± 0.4546,-0.0166 ± 0.5278,-0.0112 ± 0.3844,7.40e-05,1.09e-02,7.99e-01,4.99e-02
Positive_Regulation_Of_Endopeptidase_Activity_GO_0010950,-0.1003 ± 0.4234,0.0840 ± 0.4628,-0.1077 ± 0.4446,0.0359 ± 0.5217,0.0394 ± 0.4844,2.32e-11,9.17e-01,1.61e-04,7.29e-06
Positive_Regulation_Of_Cellular_Catabolic_Process_GO_003133,0.0287 ± 0.3602,0.0405 ± 0.3059,0.0075 ± 0.3135,-0.0676 ± 0.3171,-0.0264 ± 0.3221,1.49e-01,2.71e-01,1.98e-04,4.44e-03
Negative_Regulation_Of_Cellular_Catabolic_Process_GO_003133,0.0190 ± 0.3944,-0.0099 ± 0.3553,-0.0646 ± 0.3785,-0.0694 ± 0.3804,0.0834 ± 0.3822,7.01e-01,1.63e-03,3.40e-03,1.83e-03
Regulation_Of_Type_II_Interferon_Production_GO_0032649,-0.0349 ± 0.3511,0.0870 ± 0.4155,-0.0696 ± 0.3799,0.0122 ± 0.3847,-0.0292 ± 0.3269,8.31e-06,9.08e-02,1.95e-01,8.92e-01
Gene_Expression_GO_0010467,0.0150 ± 0.2826,0.0411 ± 0.2636,-0.0482 ± 0.2465,-0.0538 ± 0.2599,0.0099 ± 0.2535,9.50e-02,1.38e-03,5.60e-04,9.74e-01
HZ_Disease_All_Up,-0.0187 ± 0.1277,0.0498 ± 0.1289,-0.0453 ± 0.1105,-0.0191 ± 0.1381,0.0041 ± 0.1225,1.37e-19,1.53e-03,3.24e-01,1.22e-04
Macromolecule_Biosynthetic_Process_GO_0009059,-0.0051 ± 0.3216,0.0224 ± 0.2474,-0.0314 ± 0.1855,0.0118 ± 0.2299,-0.0088 ± 0.2464,3.81e-03,4.64e-01,7.95e-02,9.97e-01
T_Cell_Receptor_Signaling_Pathway_GO_0050852,0.0285 ± 0.3356,0.0284 ± 0.3115,-0.0249 ± 0.2709,0.0074 ± 0.2441,-0.0463 ± 0.3023,4.66e-01,2.98e-02,8.09e-01,6.62e-05
Proteasomal_Protein_Catabolic_Process_GO_0010498,-0.0402 ± 0.2532,0.0268 ± 0.2362,-0.0075 ± 0.2383,0.0330 ± 0.2581,-0.0121 ± 0.2415,3.53e-07,4.25e-02,2.57e-05,3.55e-02
Negative_Regulation_Of_Transport_GO_0051051,-0.0469 ± 0.3850,0.0490 ± 0.3074,0.0002 ± 0.3396,0.0584 ± 0.4585,-0.0534 ± 0.3066,4.58e-12,1.24e-03,3.88e-09,8.28e-01
Negative_Regulation_Of_MAPK_Cascade_GO_0043409,0.0074 ± 0.2934,0.0135 ± 0.3020,-0.0104 ± 0.2939,0.0137 ± 0.2756,-0.0246 ± 0.2351,5.90e-01,1.88e-01,2.66e-01,3.85e-02
Organelle_Organization_GO_0006996,-0.0065 ± 0.2112,0.0229 ± 0.1907,-0.0079 ± 0.1707,0.0204 ± 0.2154,-0.0289 ± 0.1872,8.81e-03,7.51e-01,8.13e-02,5.06e-02
Positive_Regulation_Of_Protein_Kinase_B_Signaling_GO_005189,-0.0326 ± 0.2977,0.0224 ± 0.3549,-0.0085 ± 0.3310,0.0557 ± 0.3167,-0.0298 ± 0.2641,4.22e-04,3.78e-01,2.43e-06,2.94e-01
HZ_Disease_All_Down,-0.0049 ± 0.1248,0.0279 ± 0.0884,-0.0214 ± 0.0882,0.0197 ± 0.1109,-0.0269 ± 0.0906,1.48e-10,3.49e-04,4.56e-08,3.12e-05
