Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Migration (GO:0010595),4/85,5.563646586818907e-05,0.022365859279012,0,0,21.80521262002744,213.6185096215526,ANGPT4;SPARC;ANGPT1;GATA2
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),3/46,0.00019479223001436747,0.0275065450017278,0,0,30.194135490394338,257.9659231574426,ANGPT4;ANGPT1;GATA2
GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),4/119,0.0002052727238934913,0.0275065450017278,0,0,15.332173913043478,130.1881120691724,PLVAP;PID1;FOXO3;YBX3
GO_Biological_Process_2023,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),3/54,0.0003139389889918914,0.031550868393685,0,0,25.44757033248082,205.26803923379185,ANGPT4;ANGPT1;GATA2
GO_Biological_Process_2023,Response To Fatty Acid (GO:0070542),2/19,0.0009790903375910178,0.0787188631423178,0,0,49.897371714643306,345.7332324601132,PID1;FOXO3
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),3/88,0.0013101259267189,0.0877784370901714,0,0,15.242455242966752,101.17380897075944,ANGPT4;SPARC;ANGPT1
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),3/95,0.0016328049423991,0.0937696552634951,0,0,14.077741020793953,90.34328244745032,ANGPT4;SPARC;ANGPT1
GO_Biological_Process_2023,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),2/38,0.0039075121556016,0.1459722250942773,0,0,23.54018912529551,130.52692089123806,PLVAP;FOXO3
GO_Biological_Process_2023,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),2/43,0.0049802262706846,0.1459722250942773,0,0,20.664244940321744,109.56761169296044,ANGPT1;GATA2
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),2/43,0.0049802262706846,0.1459722250942773,0,0,20.664244940321744,109.56761169296044,FOXO3;GATA2
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),2/49,0.0064255716310063,0.1459722250942773,0,0,18.0208239022182,90.95956229745056,FOXO3;GATA2
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),2/59,0.0092045319313775,0.1459722250942773,0,0,14.851810377006345,69.62616798222062,FOXO3;GATA2
GO_Biological_Process_2023,Fat Cell Differentiation (GO:0045444),2/62,0.0101255715276134,0.1459722250942773,0,0,14.10709219858156,64.78951848595281,PID1;GATA2
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),2/64,0.0107614297753384,0.1459722250942773,0,0,13.650652024708304,61.86184539856762,VNN1;FOXO3
GO_Biological_Process_2023,Regulation Of Fat Cell Proliferation (GO:0070344),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,PID1
GO_Biological_Process_2023,Glycosylceramide Metabolic Process (GO:0006677),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,ST6GALNAC3
GO_Biological_Process_2023,Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,ANGPT1
GO_Biological_Process_2023,Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034157),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,TREML4
GO_Biological_Process_2023,Positive Regulation Of Transcription Of Notch Receptor Target (GO:0007221),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,MAML3
GO_Biological_Process_2023,Protein Sulfation (GO:0006477),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,TPST1
GO_Biological_Process_2023,Podocyte Cell Migration (GO:0090521),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,DAAM2
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation In Thymus (GO:0033089),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,VNN1
GO_Biological_Process_2023,Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,IL1R1
GO_Biological_Process_2023,Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,IL1R1
GO_Biological_Process_2023,Regulation Of cGMP-mediated Signaling (GO:0010752),1/5,0.0121912198306986,0.1459722250942773,0,0,103.890625,457.8500644039375,RUNDC3A
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),3/205,0.0138344974805373,0.1459722250942773,0,0,6.376130004304779,27.29359826329912,ANGPT4;SPARC;GATA2
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Contraction (GO:0014829),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,SLC8A1
GO_Biological_Process_2023,Vascular Wound Healing (GO:0061042),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,GATA2
GO_Biological_Process_2023,Cellular Hyperosmotic Response (GO:0071474),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,YBX3
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Satellite Cell Proliferation (GO:0014842),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,ANGPT1
GO_Biological_Process_2023,Cellular Response To Caffeine (GO:0071313),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,SLC8A1
GO_Biological_Process_2023,Phospholipase C-activating Dopamine Receptor Signaling Pathway (GO:0060158),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,GNAQ
GO_Biological_Process_2023,Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034155),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,TREML4
GO_Biological_Process_2023,Response To Caffeine (GO:0031000),1/6,0.0146119438121658,0.1459722250942773,0,0,83.10833333333333,351.20883684468544,SLC8A1
GO_Biological_Process_2023,Monoatomic Cation Homeostasis (GO:0055080),2/77,0.0153073111208604,0.1459722250942773,0,0,11.277163120567376,47.1320542463176,ALPL;SLC8A1
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),2/77,0.0153073111208604,0.1459722250942773,0,0,11.277163120567376,47.1320542463176,ANGPT4;SPARC
GO_Biological_Process_2023,Negative Regulation Of Glucose Import (GO:0046325),1/7,0.0170268574512903,0.1459722250942773,0,0,69.25347222222223,282.06685294018627,PID1
GO_Biological_Process_2023,Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178),1/7,0.0170268574512903,0.1459722250942773,0,0,69.25347222222223,282.06685294018627,GATA2
