Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Fat Cell Proliferation (GO:0070344),2/5,0.00016472762985412622,0.0940607017344254,0,0,165.95833333333334,1445.6990838624515,PID1;E2F3
GO_Biological_Process_2023,Nerve Growth Factor Signaling Pathway (GO:0038180),2/9,0.0005867325726622637,0.0940607017344254,0,0,71.11071428571428,529.1306597001935,RAP1A;RAPGEF2
GO_Biological_Process_2023,Positive Regulation Of Vasculogenesis (GO:2001214),2/9,0.0005867325726622637,0.0940607017344254,0,0,71.11071428571428,529.1306597001935,RAP1A;RAPGEF2
GO_Biological_Process_2023,Rap Protein Signal Transduction (GO:0032486),2/10,0.0007314649167854895,0.0940607017344254,0,0,62.21875,449.2480764660039,RAP1A;RAPGEF2
GO_Biological_Process_2023,Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035358),2/10,0.0007314649167854895,0.0940607017344254,0,0,62.21875,449.2480764660039,ASXL2;PLIN5
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),5/176,0.0007871188429659031,0.0940607017344254,0,0,7.498670919723551,53.59398573898925,RAP1A;SNX13;RAPGEF2;PKP4;PLIN5
GO_Biological_Process_2023,Microvillus Organization (GO:0032528),2/13,0.001257786983524,0.1002036963540826,0,0,45.24318181818182,302.1521317138132,RAP1A;RAPGEF2
GO_Biological_Process_2023,Regulation Of Vasculogenesis (GO:2001212),2/13,0.001257786983524,0.1002036963540826,0,0,45.24318181818182,302.1521317138132,RAP1A;RAPGEF2
GO_Biological_Process_2023,Response To Nerve Growth Factor (GO:1990089),2/13,0.001257786983524,0.1002036963540826,0,0,45.24318181818182,302.1521317138132,RAP1A;RAPGEF2
GO_Biological_Process_2023,Microvillus Assembly (GO:0030033),2/14,0.0014635188196625,0.1009456483157371,0,0,41.47083333333333,270.6764628365567,RAP1A;RAPGEF2
GO_Biological_Process_2023,Neurotrophin Signaling Pathway (GO:0038179),2/15,0.0016841894934286,0.1009456483157371,0,0,38.27884615384615,244.4667348921532,RAP1A;RAPGEF2
GO_Biological_Process_2023,Response To Cytokine (GO:0034097),4/125,0.0017461404458027,0.1009456483157371,0,0,8.390336935791481,53.28155422950412,PID1;IL1R1;KHSRP;TRIM56
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),3/59,0.001830255827203,0.1009456483157371,0,0,13.46880650994575,84.89792168472216,CENPE;KIF4A;STMN1
GO_Biological_Process_2023,Endothelial Cell Development (GO:0001885),2/20,0.0030073484602769,0.15401920328704,0,0,27.63888888888889,160.49063933790202,RAP1A;RAPGEF2
GO_Biological_Process_2023,Cellular Response To Nerve Growth Factor Stimulus (GO:1990090),2/21,0.003315096183487,0.158248058818564,0,0,26.182894736842105,149.48517985528704,RAP1A;RAPGEF2
